Source,Plotpy,API changes
guiqwt.tools.edit_image_data,plotpy.gui.widgets.tools.edit_image_data
guiqwt.styles.CurveParam,plotpy.gui.widgets.styles.CurveParam,See `Renamed update_curve and update_image methods`_
guiqwt.pyplot.show,plotpy.gui.widgets.pyplot.show
guiqwt.styles.RawImageParam,plotpy.gui.widgets.styles.RawImageParam,See `Renamed update_curve and update_image methods`_
guiqwt.tools.AnnotatedSegmentTool,plotpy.gui.widgets.tools.AnnotatedSegmentTool
guiqwt.styles.ImageFilterParam,plotpy.gui.widgets.styles.ImageFilterParam
guiqwt.geometry.vector_norm,plotpy.gui.widgets.geometry.vector_norm
guiqwt.styles.QuadGridParam,plotpy.gui.widgets.styles.QuadGridParam,See `Renamed update_curve and update_image methods`_
guiqwt.tools.OpenImageTool,plotpy.gui.widgets.tools.OpenImageTool
guiqwt.colormap.get_cmap,plotpy.gui.widgets.colormap.get_cmap
guiqwt.tools.AnnotatedRectangleTool,plotpy.gui.widgets.tools.AnnotatedRectangleTool
guiqwt.plot.DefaultPlotID,plotpy.gui.widgets.plot.DefaultPlotID
guiqwt.image._nanmax,plotpy.gui.widgets.items.image._nanmax
guiqwt.geometry.compute_distance,plotpy.gui.widgets.geometry.compute_distance
guiqwt.events.AutoZoomHandler,plotpy.gui.widgets.events.AutoZoomHandler
guiqwt.io.save_item,plotpy.gui.widgets.io.save_item
guiqwt.image.ImagePlot,plotpy.gui.widgets.items.baseplot.BasePlot,See `Generic PlotWidgets`_
guiqwt.styles.LabelParamWithContents_MS,plotpy.gui.widgets.styles.LabelParamWithContents_MS
guiqwt.colormap.build_icon_from_cmap,plotpy.gui.widgets.colormap.build_icon_from_cmap
guiqwt.shapes.ObliqueRectangleShape,plotpy.gui.widgets.items.shapes.ObliqueRectangleShape
guiqwt.geometry.compute_rect_size,plotpy.gui.widgets.geometry.compute_rect_size
guiqwt.styles.RangeShapeParam,plotpy.gui.widgets.styles.RangeShapeParam
guiqwt.interfaces.IShapeItemType,plotpy.gui.widgets.interfaces.IShapeItemType
guiqwt.pyplot.gca,plotpy.gui.widgets.pyplot.gca
guiqwt.tools.ExportItemDataTool,plotpy.gui.widgets.tools.ExportItemDataTool
guiqwt.widgets.rotatecrop.RotateCropWidget,plotpy.gui.widgets.rotatecrop.RotateCropWidget
guiqwt.interfaces.ICurveItemType,plotpy.gui.widgets.interfaces.ICurveItemType
guiqwt.tools.BasePlotMenuTool,plotpy.gui.widgets.tools.BasePlotMenuTool
guiqwt.curve.PlotItemList,plotpy.gui.widgets.baseplot.PlotItemList
guiqwt.colormap._interpolate,plotpy.gui.widgets.colormap._interpolate
guiqwt.colormap.get_colormap_list,plotpy.gui.widgets.colormap.get_colormap_list
guiqwt.pyplot.zlabel,plotpy.gui.widgets.pyplot.zlabel
guiqwt.geometry.translate,plotpy.gui.widgets.geometry.translate
